date,address
2013-04-30,台北市士林區中山北路七段114巷63之2號2樓
2013-04-30,台北市士林區中山北路七段190巷104-1號
2013-04-30,台北市士林區承德路四段285號11樓
2013-04-30,台北市士林區承德路四段6巷2號5樓
2013-04-30,台北市大同區民權西路235號二樓
2013-04-30,台北市大同區民權西路235號三樓
2013-04-30,台北市大同區民權西路235號四樓
2013-04-30,台北市大同區民權西路235號五樓
2013-04-30,台北市大安區大安路一段16巷7之1號二樓
2013-04-30,台北市大安區安居街34巷6號五樓
2013-04-30,台北市大安區安居街49號五樓
2013-04-30,台北市大安區忠孝東路四段205巷37號六樓
2013-04-30,台北市大安區忠孝東路四段205巷37號七樓
2013-04-30,台北市大安區金山南路二段192巷31號二樓
2013-04-30,台北市中山區林森北路133巷86號
2013-04-30,台北市中山區林森北路133巷86號地下樓
2013-04-30,台北市內湖區金龍路69號三樓
2013-04-30,台北市內湖區金龍路73號五樓
2013-04-30,台北市內湖區文德路207巷5弄6號4樓
2013-04-30,台北市內湖區文德路219號3樓
2013-04-30,台北市內湖區港華街17-1號2樓
2013-04-30,台北市內湖區港華街19-1號2樓
2013-04-30,台北市內湖區港華街51巷3弄5號1樓
2013-04-30,台北市內湖區環山路二段109巷8弄14號2樓
2013-04-30,台北市內湖區麗山街322-1號5樓
2013-04-30,台北市內湖區麗山街348巷1號5樓
2013-04-30,台北市內湖區麗山街348巷23號2樓
2013-04-30,台北市文山區興隆路三段185巷3弄1號1樓
2013-04-30,台北市文山區興隆路三段185巷9弄8號3樓
2013-04-30,台北市文山區興隆路三段185巷11弄14號4樓
2013-04-30,台北市北投區中央北路四段130號二樓
2013-04-30,台北市北投區中央北路四段346號五樓
2013-04-30,台北市北投區中央北路四段360號三樓
2013-04-30,台北市北投區中央北路四段366號
2013-04-30,台北市北投區行義路186巷24號2樓
2013-04-30,台北市北投區西安街一段313巷16弄32之1號
2013-04-30,台北市北投區溫泉路132之5號四樓
2013-04-30,台北市北投區溫泉路132之7號
2013-04-30,台北市北投區溫泉路132之10號二樓
2013-04-30,台北市北投區溫泉路132之10號四樓
2013-04-30,台北市松山區八德路三段199巷19號5樓之1
